STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -7.660262
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.635831
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.615115
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.595522
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -7.562962
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.537348
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -7.515615
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -7.498309
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -7.463631
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.439328
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.418683
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.399112
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -7.366371
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.340947
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -7.319052
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -7.301674
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -7.267086
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.242597
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.222016
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -7.201015
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000019, -0.000000, -7.169786
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.144268
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -7.122591
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -7.105190
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -7.070467
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -7.045932
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.025370
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -7.005829
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -6.973101
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.947740
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.925935
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -6.908570
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -6.873605
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.849265
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.828540
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.809021
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -6.776322
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.751176
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.729113
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000011, -0.000000, -6.710330
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -6.677014
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.652645
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.631958
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.612464
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -6.579680
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.554286
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.532404
