STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000023, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000025, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000040, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000032, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000025, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000023, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000042, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000029, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000027, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000021, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000138, -0.000024, 0.000150, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000138, -0.000017, -0.000209, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000263, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, -0.000269, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000005, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000004, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000006, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000004, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000005, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000004, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000003, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000006, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000032, -0.000004, 0.000000, 0.000000
