STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000011, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000008, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000007, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000006, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000005, 0.000186, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000004, -0.000238, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000002, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000005, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000004, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000004, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000002, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000005, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000005, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000004, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000003, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000032, 0.000002, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000021, 0.000175, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000249, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000020, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000013, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000011, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000020, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000020, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000013, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000010, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000021, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000012, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000020, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000015, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000013, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000010, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, 0.000138, 0.000021, -0.000000, 0.000000
