STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000146, 0.000000, -5.727983
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000295, 0.000000, -5.358486
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000211, -0.000000, -5.094569
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007824, 0.003235, 0.000180, 0.000000, -4.869043
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007825, 0.003235, 0.000152, -0.000000, -4.678849
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007825, 0.003235, 0.000277, 0.000000, -4.331700
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000212, -0.000000, -4.067948
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000186, 0.000000, -3.835429
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000146, 0.000000, -3.652497
STEERING (cc, dc, e, i, d, s): -0.011060, -0.007826, 0.003234, 0.000294, 0.000000, -3.285239
STEERING (cc, dc, e, i, d, s): -0.010954, -0.007826, 0.003128, 0.000206, -0.000000, -3.159955
STEERING (cc, dc, e, i, d, s): -0.010954, -0.005707, 0.005247, 0.000275, 0.000000, -0.165895
STEERING (cc, dc, e, i, d, s): -0.010954, -0.005707, 0.005247, 0.000271, -0.000000, 0.173621
STEERING (cc, dc, e, i, d, s): -0.010901, -0.005708, 0.005193, 0.000440, -0.000000, 0.656572
STEERING (cc, dc, e, i, d, s): -0.010531, -0.005708, 0.004824, 0.000315, -0.000000, 0.587950
STEERING (cc, dc, e, i, d, s): -0.010320, -0.005708, 0.004612, 0.000266, 0.000000, 0.655907
STEERING (cc, dc, e, i, d, s): -0.010056, -0.005708, 0.004348, 0.000197, -0.000000, 0.572216
STEERING (cc, dc, e, i, d, s): -0.009792, -0.005708, 0.004084, 0.000371, -0.000000, 0.706082
STEERING (cc, dc, e, i, d, s): -0.009475, -0.004280, 0.005195, 0.000346, 0.000000, 2.528922
STEERING (cc, dc, e, i, d, s): -0.009422, -0.004280, 0.005142, 0.000261, -0.000000, 2.788761
STEERING (cc, dc, e, i, d, s): -0.009317, -0.004280, 0.005036, 0.000256, -0.000000, 2.977256
STEERING (cc, dc, e, i, d, s): -0.009053, -0.004282, 0.004771, 0.000418, -0.000000, 3.168247
STEERING (cc, dc, e, i, d, s): -0.008841, -0.004282, 0.004559, 0.000291, 0.000000, 3.267788
STEERING (cc, dc, e, i, d, s): -0.008736, -0.004282, 0.004454, 0.000277, 0.000000, 3.482373
STEERING (cc, dc, e, i, d, s): -0.008736, -0.004282, 0.004454, 0.000288, 0.000000, 3.842806
STEERING (cc, dc, e, i, d, s): -0.008736, -0.004282, 0.004454, 0.000297, -0.000000, 4.213855
STEERING (cc, dc, e, i, d, s): -0.008736, -0.004282, 0.004454, 0.000292, 0.000000, 4.579067
STEERING (cc, dc, e, i, d, s): -0.008683, -0.004282, 0.004401, 0.000233, -0.000000, 4.804770
STEERING (cc, dc, e, i, d, s): -0.008577, -0.004283, 0.004295, 0.000216, -0.000000, 4.942885
STEERING (cc, dc, e, i, d, s): -0.008366, -0.004283, 0.004083, 0.000351, -0.000000, 5.118041
STEERING (cc, dc, e, i, d, s): -0.008102, 0.001233, 0.009335, 0.000603, 0.000000, 12.442710
STEERING (cc, dc, e, i, d, s): -0.007996, 0.001234, 0.009230, 0.000532, -0.000000, 12.976232
STEERING (cc, dc, e, i, d, s): -0.007626, 0.001234, 0.008860, 0.000400, -0.000000, 13.014699
STEERING (cc, dc, e, i, d, s): -0.007204, 0.001286, 0.008490, 0.000770, -0.000000, 13.514831
STEERING (cc, dc, e, i, d, s): -0.006200, 0.001286, 0.007487, 0.000492, -0.000000, 12.875474
STEERING (cc, dc, e, i, d, s): -0.005250, 0.001286, 0.006536, 0.000341, 0.000000, 12.112181
STEERING (cc, dc, e, i, d, s): -0.004352, 0.001286, 0.005638, 0.000276, 0.000000, 11.333734
STEERING (cc, dc, e, i, d, s): -0.002609, 0.001286, 0.003895, 0.000341, -0.000000, 9.579472
STEERING (cc, dc, e, i, d, s): -0.001024, 0.001287, 0.002311, 0.000152, 0.000000, 7.788008
STEERING (cc, dc, e, i, d, s): -0.000338, 0.001287, 0.001624, 0.000093, 0.000000, 7.045774
STEERING (cc, dc, e, i, d, s): 0.000507, 0.002760, 0.002252, 0.000102, 0.000000, 7.959374
STEERING (cc, dc, e, i, d, s): 0.001036, 0.002760, 0.001724, 0.000156, -0.000000, 7.493916
STEERING (cc, dc, e, i, d, s): 0.001247, 0.002760, 0.001513, 0.000102, 0.000000, 7.356994
STEERING (cc, dc, e, i, d, s): 0.001247, 0.002761, 0.001514, 0.000082, 0.000000, 7.461055
STEERING (cc, dc, e, i, d, s): 0.001247, 0.002761, 0.001514, 0.000071, -0.000000, 7.550302
STEERING (cc, dc, e, i, d, s): 0.001141, 0.002760, 0.001619, 0.000143, 0.000000, 7.859850
STEERING (cc, dc, e, i, d, s): 0.001247, 0.002760, 0.001513, 0.000095, -0.000000, 7.846841
STEERING (cc, dc, e, i, d, s): 0.001300, 0.010972, 0.009672, 0.000555, 0.000000, 18.748426
STEERING (cc, dc, e, i, d, s): 0.001405, 0.010972, 0.009566, 0.000434, -0.000000, 19.159526
STEERING (cc, dc, e, i, d, s): 0.001458, 0.010974, 0.009515, 0.000864, 0.000000, 20.176419
STEERING (cc, dc, e, i, d, s): 0.001775, 0.010974, 0.009199, 0.000603, -0.000000, 20.534928
STEERING (cc, dc, e, i, d, s): 0.002409, 0.007771, 0.005362, 0.000278, -0.000000, 16.082847
STEERING (cc, dc, e, i, d, s): 0.002937, 0.007771, 0.004833, 0.000256, 0.000000, 15.741900
STEERING (cc, dc, e, i, d, s): 0.004416, 0.007773, 0.003357, 0.000289, -0.000000, 14.257131
STEERING (cc, dc, e, i, d, s): 0.006159, 0.014721, 0.008561, 0.000545, 0.000000, 21.449394
STEERING (cc, dc, e, i, d, s): 0.007005, 0.014721, 0.007716, 0.000442, -0.000000, 20.945351
STEERING (cc, dc, e, i, d, s): 0.008272, 0.014719, 0.006447, 0.000294, -0.000000, 19.725151
STEERING (cc, dc, e, i, d, s): 0.009540, 0.014719, 0.005179, 0.000470, 0.000000, 18.726819
STEERING (cc, dc, e, i, d, s): 0.011284, 0.017669, 0.006385, 0.000416, 0.000000, 20.755501
STEERING (cc, dc, e, i, d, s): 0.012657, 0.017669, 0.005011, 0.000263, -0.000000, 19.365996
STEERING (cc, dc, e, i, d, s): 0.013450, 0.017698, 0.004248, 0.000216, 0.000000, 18.681529
STEERING (cc, dc, e, i, d, s): 0.015194, 0.017704, 0.002511, 0.000218, -0.000000, 16.781699
STEERING (cc, dc, e, i, d, s): 0.016832, 0.017707, 0.000875, 0.000056, 0.000000, 14.805049
STEERING (cc, dc, e, i, d, s): 0.017519, 0.017707, 0.000188, 0.000012, 0.000000, 13.960206
STEERING (cc, dc, e, i, d, s): 0.018523, 0.017707, -0.000816, -0.000053, -0.000000, 12.638116
STEERING (cc, dc, e, i, d, s): 0.018787, 0.034880, 0.016093, 0.001081, 0.000000, 35.143633
STEERING (cc, dc, e, i, d, s): 0.019051, 0.034880, 0.015829, 0.001041, -0.000000, 36.114785
STEERING (cc, dc, e, i, d, s): 0.019051, 0.034871, 0.015820, 0.000832, 0.000000, 37.144138
STEERING (cc, dc, e, i, d, s): 0.019157, 0.034871, 0.015714, 0.000827, -0.000000, 38.046299
STEERING (cc, dc, e, i, d, s): 0.019685, 0.042633, 0.022948, 0.001907, 0.000000, 49.481109
STEERING (cc, dc, e, i, d, s): 0.020954, 0.042633, 0.021679, 0.001435, -0.000000, 49.689804
STEERING (cc, dc, e, i, d, s): 0.021958, 0.042759, 0.020801, 0.001186, 0.000000, 50.075524
STEERING (cc, dc, e, i, d, s): 0.023967, 0.042759, 0.018792, 0.000848, -0.000000, 48.623701
STEERING (cc, dc, e, i, d, s): 0.026504, 0.039114, 0.012610, 0.001146, -0.000000, 42.323091
STEERING (cc, dc, e, i, d, s): 0.030682, 0.039114, 0.008432, 0.000555, 0.000000, 37.791036
STEERING (cc, dc, e, i, d, s): 0.034384, 0.039094, 0.004710, 0.000243, 0.000000, 33.438462
STEERING (cc, dc, e, i, d, s): 0.037030, 0.039094, 0.002064, 0.000101, 0.000000, 30.255382
