x, y, theta, v, timestamp, left_img, right_img
7757912.811,-363606.674,-0.712,9.380,1397835398.7382318973541259765625000,1397835398.7382318973541259765625000.bb08.l.png,1397835398.7382318973541259765625000.bb08.r.png
7757913.624,-363607.428,-0.716,9.493,1397835398.8633079528808593750000000,1397835398.8633079528808593750000000.bb08.l.png,1397835398.8633079528808593750000000.bb08.r.png
7757914.446,-363608.224,-0.718,9.535,1397835398.9882280826568603515625000,1397835398.9882280826568603515625000.bb08.l.png,1397835398.9882280826568603515625000.bb08.r.png
7757915.345,-363609.008,-0.718,9.535,1397835399.1132619380950927734375000,1397835399.1132619380950927734375000.bb08.l.png,1397835399.1132619380950927734375000.bb08.r.png
7757916.134,-363609.736,-0.721,9.385,1397835399.2382740974426269531250000,1397835399.2382740974426269531250000.bb08.l.png,1397835399.2382740974426269531250000.bb08.r.png
7757917.046,-363610.527,-0.717,9.652,1397835399.3632969856262207031250000,1397835399.3632969856262207031250000.bb08.l.png,1397835399.3632969856262207031250000.bb08.r.png
7757917.890,-363611.316,-0.719,9.607,1397835399.4882509708404541015625000,1397835399.4882509708404541015625000.bb08.l.png,1397835399.4882509708404541015625000.bb08.r.png
7757918.780,-363612.099,-0.714,9.773,1397835399.6132779121398925781250000,1397835399.6132779121398925781250000.bb08.l.png,1397835399.6132779121398925781250000.bb08.r.png
7757919.577,-363612.824,-0.716,9.686,1397835399.7382299900054931640625000,1397835399.7382299900054931640625000.bb08.l.png,1397835399.7382299900054931640625000.bb08.r.png
7757920.480,-363613.597,-0.717,9.553,1397835399.8633179664611816406250000,1397835399.8633179664611816406250000.bb08.l.png,1397835399.8633179664611816406250000.bb08.r.png
7757921.357,-363614.368,-0.714,9.702,1397835399.9882209300994873046875000,1397835399.9882209300994873046875000.bb08.l.png,1397835399.9882209300994873046875000.bb08.r.png
7757922.218,-363615.148,-0.713,9.767,1397835400.1132531166076660156250000,1397835400.1132531166076660156250000.bb08.l.png,1397835400.1132531166076660156250000.bb08.r.png
7757923.106,-363615.942,-0.715,9.782,1397835400.2383110523223876953125000,1397835400.2383110523223876953125000.bb08.l.png,1397835400.2383110523223876953125000.bb08.r.png
7757923.908,-363616.676,-0.712,9.771,1397835400.3632531166076660156250000,1397835400.3632531166076660156250000.bb08.l.png,1397835400.3632531166076660156250000.bb08.r.png
7757924.823,-363617.477,-0.715,9.713,1397835400.4882559776306152343750000,1397835400.4882559776306152343750000.bb08.l.png,1397835400.4882559776306152343750000.bb08.r.png
7757925.719,-363618.258,-0.709,9.758,1397835400.6132519245147705078125000,1397835400.6132519245147705078125000.bb08.l.png,1397835400.6132519245147705078125000.bb08.r.png
7757926.596,-363619.034,-0.716,9.803,1397835400.7382490634918212890625000,1397835400.7382490634918212890625000.bb08.l.png,1397835400.7382490634918212890625000.bb08.r.png
7757927.454,-363619.794,-0.719,9.816,1397835400.8632130622863769531250000,1397835400.8632130622863769531250000.bb08.l.png,1397835400.8632130622863769531250000.bb08.r.png
7757928.329,-363620.587,-0.711,9.702,1397835400.9882678985595703125000000,1397835400.9882678985595703125000000.bb08.l.png,1397835400.9882678985595703125000000.bb08.r.png
7757929.256,-363621.391,-0.707,9.818,1397835401.1132519245147705078125000,1397835401.1132519245147705078125000.bb08.l.png,1397835401.1132519245147705078125000.bb08.r.png
7757930.153,-363622.169,-0.705,9.722,1397835401.2382879257202148437500000,1397835401.2382879257202148437500000.bb08.l.png,1397835401.2382879257202148437500000.bb08.r.png
7757931.039,-363622.955,-0.703,9.702,1397835401.3632490634918212890625000,1397835401.3632490634918212890625000.bb08.l.png,1397835401.3632490634918212890625000.bb08.r.png
7757931.959,-363623.719,-0.704,9.722,1397835401.4883160591125488281250000,1397835401.4883160591125488281250000.bb08.l.png,1397835401.4883160591125488281250000.bb08.r.png
7757932.780,-363624.473,-0.703,9.814,1397835401.6132850646972656250000000,1397835401.6132850646972656250000000.bb08.l.png,1397835401.6132850646972656250000000.bb08.r.png
7757933.722,-363625.270,-0.710,9.767,1397835401.7382950782775878906250000,1397835401.7382950782775878906250000.bb08.l.png,1397835401.7382950782775878906250000.bb08.r.png
7757934.543,-363625.982,-0.710,9.708,1397835401.8632829189300537109375000,1397835401.8632829189300537109375000.bb08.l.png,1397835401.8632829189300537109375000.bb08.r.png
7757935.421,-363626.756,-0.705,9.767,1397835401.9882628917694091796875000,1397835401.9882628917694091796875000.bb08.l.png,1397835401.9882628917694091796875000.bb08.r.png
7757936.273,-363627.500,-0.710,9.713,1397835402.1132640838623046875000000,1397835402.1132640838623046875000000.bb08.l.png,1397835402.1132640838623046875000000.bb08.r.png
7757937.149,-363628.238,-0.702,9.769,1397835402.2381839752197265625000000,1397835402.2381839752197265625000000.bb08.l.png,1397835402.2381839752197265625000000.bb08.r.png
7757938.063,-363629.041,-0.702,9.823,1397835402.3633010387420654296875000,1397835402.3633010387420654296875000.bb08.l.png,1397835402.3633010387420654296875000.bb08.r.png
7757938.991,-363629.888,-0.708,9.825,1397835402.4882709980010986328125000,1397835402.4882709980010986328125000.bb08.l.png,1397835402.4882709980010986328125000.bb08.r.png
7757939.895,-363630.607,-0.699,9.812,1397835402.6132619380950927734375000,1397835402.6132619380950927734375000.bb08.l.png,1397835402.6132619380950927734375000.bb08.r.png
