timestamp 1655648235.709211, valid 1, tt 4.15778333, a -0.10692119, vf 0.00000000, sf 0.00000000, s 23.99987942
timestamp 1655648235.785220, valid 1, tt 4.15654789, a -0.11000584, vf 0.00000000, sf 0.00000000, s 24.01912020
timestamp 1655648235.826901, valid 1, tt 4.20484344, a -0.11115490, vf 0.00000000, sf 0.00000000, s 24.31952978
timestamp 1655648235.888443, valid 1, tt 4.22135217, a -0.11259713, vf 0.00000000, sf 0.00000000, s 24.43173445
timestamp 1655648235.955889, valid 1, tt 4.22565670, a -0.11384986, vf 0.00000000, sf 0.00000000, s 24.46885618
timestamp 1655648236.040457, valid 1, tt 4.16301301, a -0.11648459, vf 0.00000000, sf 0.00000000, s 24.11410068
timestamp 1655648236.098225, valid 1, tt 4.23984778, a -0.11494462, vf 0.00000000, sf 0.00000000, s 24.56429524
timestamp 1655648236.123273, valid 1, tt 4.17393161, a -0.11666204, vf 0.00000000, sf 0.00000000, s 24.18154623
timestamp 1655648236.187470, valid 1, tt 4.17988276, a -0.11631651, vf 0.00000000, sf 0.00000000, s 24.21445664
timestamp 1655648236.247550, valid 1, tt 4.38606368, a -0.11026180, vf 0.00000000, sf 0.00000000, s 25.40323719
timestamp 1655648236.311321, valid 1, tt 4.32488973, a -0.11028649, vf 0.00000000, sf 0.00000000, s 25.03457429
timestamp 1655648236.388308, valid 1, tt 4.38968562, a -0.10731151, vf 0.00000000, sf 0.00000000, s 25.39666612
timestamp 1655648236.464689, valid 1, tt 4.32600248, a -0.10727200, vf 0.00000000, sf 0.00000000, s 25.01307382
timestamp 1655648236.521091, valid 1, tt 4.40278190, a -0.10260725, vf 0.00000000, sf 0.00000000, s 25.42993410
timestamp 1655648236.587494, valid 1, tt 4.28954615, a -0.10531589, vf 0.00000000, sf 0.00000000, s 24.77589818
timestamp 1655648236.614837, valid 1, tt 4.23793812, a -0.10205407, vf 0.00000000, sf 0.00000000, s 24.43700819
timestamp 1655648236.678806, valid 1, tt 4.30043432, a -0.09808772, vf 0.00000000, sf 0.00000000, s 24.77441464
timestamp 1655648236.715471, valid 1, tt 4.25056952, a -0.09658501, vf 0.00000000, sf 0.00000000, s 24.46317804
timestamp 1655648236.764625, valid 1, tt 4.19792463, a -0.09500031, vf 0.00000000, sf 0.00000000, s 24.13555657
timestamp 1655648236.834383, valid 1, tt 4.26543087, a -0.09065620, vf 0.00000000, sf 0.00000000, s 24.49783625
timestamp 1655648236.892636, valid 1, tt 4.21040517, a -0.08888827, vf 0.00000000, sf 0.00000000, s 24.15563260
timestamp 1655648236.960746, valid 1, tt 4.27920339, a -0.08449316, vf 0.00000000, sf 0.00000000, s 24.52318049
timestamp 1655648236.986016, valid 1, tt 4.22803840, a -0.08246552, vf 0.00000000, sf 0.00000000, s 24.20270266
timestamp 1655648237.048024, valid 1, tt 4.29705274, a -0.07811194, vf 0.00000000, sf 0.00000000, s 24.56979800
timestamp 1655648237.105621, valid 1, tt 4.24804692, a -0.07591538, vf 0.00000000, sf 0.00000000, s 24.26164113
timestamp 1655648237.165623, valid 1, tt 4.19572840, a -0.07370219, vf 0.00000000, sf 0.00000000, s 23.93502437
timestamp 1655648237.205288, valid 1, tt 4.14248798, a -0.07144574, vf 0.00000000, sf 0.00000000, s 23.60382010
timestamp 1655648237.258809, valid 1, tt 4.20777897, a -0.06719398, vf 0.00000000, sf 0.00000000, s 23.94802160
timestamp 1655648237.335689, valid 1, tt 4.27335111, a -0.06308461, vf 0.00000000, sf 0.00000000, s 24.29310936
timestamp 1655648237.455961, valid 1, tt 4.21255754, a -0.06087721, vf 0.00000000, sf 0.00000000, s 23.91984685
timestamp 1655648237.557457, valid 1, tt 4.21369605, a -0.05619262, vf 0.00000000, sf 0.00000000, s 23.88486963
timestamp 1655648237.638833, valid 1, tt 4.27743940, a -0.04936936, vf 0.00000000, sf 0.00000000, s 24.19143166
timestamp 1655648237.682437, valid 1, tt 4.16581452, a -0.04622255, vf 0.00000000, sf 0.00000000, s 23.52134386
timestamp 1655648237.807699, valid 1, tt 4.11130888, a -0.04389104, vf 0.00000000, sf 0.00000000, s 23.18870635
timestamp 1655648237.904837, valid 1, tt 4.11344566, a -0.03817722, vf 0.00000000, sf 0.00000000, s 23.15261101
timestamp 1655648237.990916, valid 1, tt 4.23250511, a -0.06989047, vf 0.00000000, sf 0.00000000, s 23.45800601
timestamp 1655648238.035954, valid 1, tt 4.10810266, a -0.06811381, vf 0.00000000, sf 0.00000000, s 22.73567366
timestamp 1655648238.099982, valid 1, tt 4.22675648, a -0.09805298, vf 0.00000000, sf 0.00000000, s 23.06456767
timestamp 1655648238.121271, valid 1, tt 4.33404825, a -0.12464788, vf 0.00000000, sf 0.00000000, s 23.33472544
timestamp 1655648238.202452, valid 1, tt 4.31768876, a -0.15117278, vf 0.00000000, sf 0.00000000, s 22.96282914
