STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.087037, -0.026773, 9.789486, 1717610119.964927
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.087324, 0.026913, 9.885349, 1717610119.989864
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.087606, -0.013361, 9.879906, 1717610120.014980
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.087885, 0.000000, 9.907876, 1717610120.039968
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.088174, 0.013394, 9.970316, 1717610120.065021
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.088454, -0.013417, 9.964755, 1717610120.090031
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.088726, -0.013385, 9.958419, 1717610120.115101
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.089006, 0.013418, 10.019969, 1717610120.140110
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.089287, 0.000000, 10.048019, 1717610120.165169
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.089559, -0.013407, 10.041638, 1717610120.190198
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.089838, 0.013421, 10.103182, 1717610120.215201
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.090110, -0.013406, 10.096804, 1717610120.240232
STEERING (cc, dc, e, i, d, s): -0.012152, 0.000000, 0.012152, 0.090415, 0.051675, 10.256673, 1717610120.265279
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.090695, -0.038238, 10.188863, 1717610120.290352
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.090959, -0.024937, 10.152960, 1717610120.315343
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.091240, 0.024870, 10.243328, 1717610120.340401
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.091512, -0.013410, 10.236942, 1717610120.365425
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.091783, 0.000000, 10.264084, 1717610120.390422
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.092063, 0.013420, 10.325629, 1717610120.415427
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.092351, 0.013403, 10.388049, 1717610120.440463
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.092616, -0.038258, 10.318663, 1717610120.465523
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.092888, 0.011497, 10.374590, 1717610120.490541
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.093152, -0.011502, 10.372260, 1717610120.515548
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.093433, 0.024895, 10.462600, 1717610120.540581
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.093759, -0.011174, 10.461650, 1717610120.570611
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.094030, 0.000000, 10.488815, 1717610120.595630
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.094296, -0.011458, 10.486586, 1717610120.620732
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.094612, 0.000000, 10.518270, 1717610120.650707
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.094885, 0.011472, 10.574254, 1717610120.675778
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.095156, 0.000000, 10.601351, 1717610120.700734
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.095453, 0.040161, 10.731760, 1717610120.725800
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.095725, -0.040228, 10.658263, 1717610120.750825
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.096014, 0.026742, 10.754309, 1717610120.775921
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.096330, -0.032079, 10.690025, 1717610120.805808
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.096619, 0.038263, 10.814788, 1717610120.830865
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.096899, -0.013419, 10.809223, 1717610120.855872
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.097244, 0.011204, 10.877309, 1717610120.885822
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.097524, -0.013403, 10.871778, 1717610120.910859
